lat,long,wifi_count,Is_Signal
23.498520735,87.31016166583332,0,1
23.49852993,87.309989815,0,1
23.505729336666665,87.30897885666668,0,1
23.498468285,87.31028049499999,0,1
23.49495955,87.31524359,0,1
23.535993754705892,87.29595224588232,5,1
23.502502515,87.30719234499998,3,1
23.53601198333333,87.29591795055552,17,1
23.535839866486487,87.29601057567568,4,1
23.535979340769238,87.29596067692309,1,1
23.52670311,87.311283336,0,1
23.535968651999998,87.29598510299999,6,1
23.53610148642857,87.29590702392856,10,1
23.535955214,87.295956796,2,1
23.536153832857146,87.29569749761906,8,1
23.536052528000003,87.29595237100003,5,1
23.526603755,87.3113467575,0,1
23.53589646214286,87.295922585,4,1
23.535913436875,87.29595737,3,1
23.53588297833333,87.29601182833332,4,1
23.53950198583333,87.29309716458334,19,1
23.53601808346154,87.29587851192308,2,1
23.50232600666667,87.30694686666668,2,1
23.4956099215,87.31562237699998,1,1
23.53945155458333,87.29308801375,35,1
23.53595980333333,87.29599219250002,1,1
23.495533754,87.31559974000002,1,1
23.535944354,87.29593574999998,4,1
23.535957923846148,87.29595265923072,1,1
23.52659195333333,87.31131983666668,0,1
23.53804121000001,87.29641489333332,0,1
23.535915168888888,87.2959663422222,1,1
23.536164883548388,87.29601638774193,9,1
23.50253229,87.30719947,0,1
23.535963903571428,87.29587018785715,2,1
23.53591367666667,87.29591137833332,3,1
23.53593340736842,87.29599921052632,9,1
23.50243719,87.30704455333334,0,1
23.495528538000002,87.31577067799999,2,1
23.535855851428572,87.29598407285714,1,1
23.53594990333333,87.29594552,2,1
23.53596941125,87.29597355749998,5,1
23.53596929583333,87.29589808250002,5,1
23.526625712857147,87.31135301142857,0,1
23.53595201000001,87.29587079444444,8,1
23.53586864750001,87.29604008305556,6,1
23.50270323,87.30736094333334,2,1
23.50273864,87.307309435,1,1
23.495492921,87.31571608799999,1,1
23.502669466666664,87.30730594333332,1,1
23.535927590714287,87.29591492071428,1,1
